ID,Name,Sex,Team,NOC,Year
835,"Phillip Maxwell ""Phil"" Adams",M,Australia,AUS,1996
835,"Phillip Maxwell ""Phil"" Adams",M,Australia,AUS,1996
1186,Paul Agostino,M,Australia,AUS,1996
1311,"Nicholas Mark ""Nick"" A'Hern",M,Australia,AUS,1996
1534,Brett Aitken,M,Australia,AUS,1996
2857,Malcolm Allen,M,Australia,AUS,1996
2857,Malcolm Allen,M,Australia,AUS,1996
3016,Ross Aloisi,M,Australia,AUS,1996
3800,"Christopher Daniel ""Chris"" Anderson",M,Australia,AUS,1996
3877,Kate Suzanne Anderson-Richardson,F,Australia,AUS,1996
3978,Ramon Dean Andersson,M,Australia,AUS,1996
4163,"Michelle ""Shelley"" Andrews (-Mitchell)",F,Australia,AUS,1996
4418,Alyson Regina Annan,F,Australia,AUS,1996
4561,Peter Thomas Antonie,M,Australia,AUS,1996
5096,Simon Graham Arkell,M,Australia,AUS,1996
5114,Vyninka Rae Robyn Arlow,F,Australia,AUS,1996
6457,Mark Tony Babic,M,Australia,AUS,1996
7036,Simon Francis Baker,M,Australia,AUS,1996
7039,Vanessa Anne Baker,F,Australia,AUS,1996
7548,"Suzanne Jane ""Sue"" Banks (Muehlberg-)",F,Australia,AUS,1996
9041,Colin Kenneth Beashel,M,Australia,AUS,1996
9563,David Alexander Belcher,M,Australia,AUS,1996
11789,"Nicola P. ""Nikki"" Bishop",F,Australia,AUS,1996
12003,Michael James Blackburn,M,Australia,AUS,1996
12004,Peter Grant Blackburn,M,Australia,AUS,1996
12004,Peter Grant Blackburn,M,Australia,AUS,1996
12657,Nicole Jane Boegman-Staines (-Stewart),F,Australia,AUS,1996
13315,Justin Boocock,M,Australia,AUS,1996
13362,"Mitchell Jay ""Mitch"" Booth",M,Australia,AUS,1996
13401,Katrin Borchert,F,Australia,AUS,1996
13401,Katrin Borchert,F,Australia,AUS,1996
13566,"Raymond Helmut ""Ray"" Borner",M,Australia,AUS,1996
14327,Carla Maree Boyd (Porter-),F,Australia,AUS,1996
14524,"Marcus Robert ""Mark"" Bradtke",M,Australia,AUS,1996
15055,Christine Linda Bridge,F,Australia,AUS,1996
15060,Deonne Ellen Bridger,F,Australia,AUS,1996
15115,"Stephen ""Steve"" Brimacombe",M,Australia,AUS,1996
15115,"Stephen ""Steve"" Brimacombe",M,Australia,AUS,1996
15301,Michelle Kathleen Brogan-Griffiths,F,Australia,AUS,1996
15340,"Sandra Anne ""Sandy"" Brondello",F,Australia,AUS,1996
15499,"Christopher ""Cris"" Brown",M,Australia,AUS,1996
15501,Damian Gerard Brown,M,Australia,AUS,1996
15540,"Joanne ""Jo"" Brown (-Alchin)",F,Australia,AUS,1996
15994,Addy Elizabeth Bucek,F,Australia,AUS,1996
16547,Simon Peter Burgess,M,Australia,AUS,1996
16676,Heidi Burnett,F,Australia,AUS,1996
16931,Russell Charles Butler,M,Australia,AUS,1996
17088,Paul Byrne,M,Australia,AUS,1996
17622,David Allen Cameron,M,Australia,AUS,1996
17729,Lisa Jayne Campbell,F,Australia,AUS,1996
18054,Dean Capobianco,M,Australia,AUS,1996
18279,Sean William Carlin,M,Australia,AUS,1996
18605,Stuart Cameron Carruthers,M,Australia,AUS,1996
18845,"Lucas Anthony ""Luke"" Casserly",M,Australia,AUS,1996
19064,Rhonda Maree Cator,F,Australia,AUS,1996
19064,Rhonda Maree Cator,F,Australia,AUS,1996
19735,Michelle Louise Chandler (-Cleary),F,Australia,AUS,1996
21143,Baeden Ty Choppy,M,Australia,AUS,1996
21971,Paul Marcos Cleary,M,Australia,AUS,1996
22457,"Daniel James ""Danny"" Collins",M,Australia,AUS,1996
22870,Allison Petra Cook-Tranquilli,F,Australia,AUS,1996
22909,Simon Coombs,M,Australia,AUS,1996
22929,David Cooper,M,Australia,AUS,1996
22929,David Cooper,M,Australia,AUS,1996
22943,Kim Cooper (-Maguire),F,Australia,AUS,1996
23070,"Stephen Christoph ""Steve"" Corica",M,Australia,AUS,1996
23351,Daniela Costian,F,Australia,AUS,1996
23498,Duane Jon Cousins,M,Australia,AUS,1996
23605,"Annemarie Josefina ""Anna"" Cox-Wood",F,Australia,AUS,1996
23715,Justann John Crawford,M,Australia,AUS,1996
23744,Shaun William Creighton,M,Australia,AUS,1996
23744,Shaun William Creighton,M,Australia,AUS,1996
23812,Sharon Lee Cripps,F,Australia,AUS,1996
24001,"Margaret Mary ""Marg"" Crowley (Leaney-)",F,Australia,AUS,1996
24013,Carolyn Crudgington,F,Australia,AUS,1996
24333,David Allan Cunningham,M,Australia,AUS,1996
24393,Andrew Bruce Currey,M,Australia,AUS,1996
25604,Alison Nicole Davies,F,Australia,AUS,1996
25647,Stephen John Davies,M,Australia,AUS,1996
25777,Scott Thomas Dawes,M,Australia,AUS,1996
25813,Jason Scott Day,M,Australia,AUS,1996
26172,"Roderic George ""Rod"" de Highden",M,Australia,AUS,1996
27618,Helen Jennifer Denman,F,Australia,AUS,1996
27618,Helen Jennifer Denman,F,Australia,AUS,1996
27987,Steven Dennis Dewick,M,Australia,AUS,1996
27987,Steven Dennis Dewick,M,Australia,AUS,1996
27987,Steven Dennis Dewick,M,Australia,AUS,1996
28172,Michael Constantine Diamond (Diamondopoulous-),M,Australia,AUS,1996
28429,Kerry Dienelt,F,Australia,AUS,1996
28530,Damon Laurance Diletti,M,Australia,AUS,1996
28816,Carly Dixon,F,Australia,AUS,1996
29017,Louise Karen Dobson,F,Australia,AUS,1996
29071,"Benjamin Philip ""Ben"" Dodwell",M,Australia,AUS,1996
29488,Kevin John Dorge,M,Australia,AUS,1996
29658,Mark Lindsay Doubleday,M,Australia,AUS,1996
29687,"Georgina Caroline ""Gina"" Douglas",F,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29798,Brennon James Dowrick,M,Australia,AUS,1996
29965,Lachlan George Dreher,M,Australia,AUS,1996
30686,"Matthew Stephen ""Matt"" Dunn",M,Australia,AUS,1996
30686,"Matthew Stephen ""Matt"" Dunn",M,Australia,AUS,1996
30686,"Matthew Stephen ""Matt"" Dunn",M,Australia,AUS,1996
30686,"Matthew Stephen ""Matt"" Dunn",M,Australia,AUS,1996
30918,Phillip Peter Dutton,M,Australia,AUS,1996
31370,Peta Louise Edebone,F,Australia,AUS,1996
31473,Anthony John Edwards,M,Australia,AUS,1996
32396,Lachlan Anthony Elmer,M,Australia,AUS,1996
32600,"Roberto Manuel ""Robert"" Enes",M,Australia,AUS,1996
33432,Cadel Lee Evans,M,Australia,AUS,1996
33718,Darren Michael Fagan,M,Australia,AUS,1996
33805,Simon John Fairweather,M,Australia,AUS,1996
33805,Simon John Fairweather,M,Australia,AUS,1996
33927,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,Australia,AUS,1996
34130,Mia Farrance,F,Australia,AUS,1996
34155,Renita Maree Farrell-Garard,F,Australia,AUS,1996
34372,Jackson Campbell Fear,M,Australia,AUS,1996
34372,Jackson Campbell Fear,M,Australia,AUS,1996
34591,John Felton,M,Australia,AUS,1996
34825,Jaime Francisco Fernandez,M,Australia,AUS,1996
35047,Scott William Ferrier,M,Australia,AUS,1996
35057,Michelle Louise Ferris,F,Australia,AUS,1996
35587,Scott Fisher,M,Australia,AUS,1996
35635,"Gregory ""Greg"" Fitzgerald",M,Australia,AUS,1996
36251,Annemarie Forder,F,Australia,AUS,1996
36356,"Timothy Charles ""Tim"" Forsyth",M,Australia,AUS,1996
36967,Duncan Seth Free,M,Australia,AUS,1996
36975,"Catherine Astrid Salome ""Cathy"" Freeman",F,Australia,AUS,1996
36975,"Catherine Astrid Salome ""Cathy"" Freeman",F,Australia,AUS,1996
37740,"Christopher John ""Chris"" Fydler",M,Australia,AUS,1996
