ID,Name,Sex,Team,NOC,Year
252,Youcef Abdi,M,Australia,AUS,2012
824,Luke Kendall Adams,M,Australia,AUS,2012
3054,Uzodinma Anthony Alozie,M,Australia,AUS,2012
3347,Eloise Michelle Amberger,F,Australia,AUS,2012
3347,Eloise Michelle Amberger,F,Australia,AUS,2012
3711,David Emil Andersen,M,Australia,AUS,2012
3825,Jenny-Lyn Anderson,F,Australia,AUS,2012
4152,Jake Andrewartha,M,Australia,AUS,2012
4511,Mark Anthony,M,Australia,AUS,2012
5181,Daniel Arnamnart,M,Australia,AUS,2012
5577,Jessica Ashwood,F,Australia,AUS,2012
5650,Dina Aspandiyarova,F,Australia,AUS,2012
5820,Courtney Atkinson,M,Australia,AUS,2012
5851,Teneal Attard,F,Australia,AUS,2012
6934,Angie Lee Bainbridge,F,Australia,AUS,2012
7291,Ibrahim Balla,M,Australia,AUS,2012
7364,"Suzanne Elspeth ""Suzy"" Balogh",F,Australia,AUS,2012
7563,Jarrod Bannister,M,Australia,AUS,2012
7922,David Barlow,M,Australia,AUS,2012
7937,Elisa Barnard,F,Australia,AUS,2012
8051,Bronte Amelia Arnold Barratt,F,Australia,AUS,2012
8051,Bronte Amelia Arnold Barratt,F,Australia,AUS,2012
8051,Bronte Amelia Arnold Barratt,F,Australia,AUS,2012
8326,Clive Barton,M,Australia,AUS,2012
8590,Suzy Batkovic (-Brown),F,Australia,AUS,2012
8923,Aron John Baynes,M,Australia,AUS,2012
9013,Gemma Beadsworth,F,Australia,AUS,2012
9014,Jamie Beadsworth,M,Australia,AUS,2012
9567,Mathew Belcher,M,Australia,AUS,2012
9809,Samuel Beltz,M,Australia,AUS,2012
11670,Stephen Bird,M,Australia,AUS,2012
11713,Collis Birmingham,M,Australia,AUS,2012
11779,Abby Bishop,F,Australia,AUS,2012
12421,Madonna Blyth,F,Australia,AUS,2012
12490,Jack Bobridge,M,Australia,AUS,2012
12599,Lauren Boden-Wells,F,Australia,AUS,2012
13061,Sarah Joan Bombell,F,Australia,AUS,2012
13061,Sarah Joan Bombell,F,Australia,AUS,2012
13280,Georgia Bonora,F,Australia,AUS,2012
13280,Georgia Bonora,F,Australia,AUS,2012
13280,Georgia Bonora,F,Australia,AUS,2012
13359,"Joshua ""Josh"" Booth",M,Australia,AUS,2012
14319,Fiona Boyce,F,Australia,AUS,2012
14325,Alana Boyd,F,Australia,AUS,2012
14865,Melissa Breen,F,Australia,AUS,2012
14944,Ashleigh Jade Brennan,F,Australia,AUS,2012
14944,Ashleigh Jade Brennan,F,Australia,AUS,2012
14944,Ashleigh Jade Brennan,F,Australia,AUS,2012
14944,Ashleigh Jade Brennan,F,Australia,AUS,2012
14944,Ashleigh Jade Brennan,F,Australia,AUS,2012
14949,Scott Michael Brennan,M,Australia,AUS,2012
15083,Jo Brigden-Jones,F,Australia,AUS,2012
15216,Brittany Broben,F,Australia,AUS,2012
15599,Victoria Brown,F,Australia,AUS,2012
16006,Caroline Buchanan,F,Australia,AUS,2012
16092,Brodie Buckland,M,Australia,AUS,2012
16105,Zoe Buckman,F,Australia,AUS,2012
16215,Rachel Bugg,F,Australia,AUS,2012
16536,Nathan Burgers,M,Australia,AUS,2012
16750,Olia Burtaev,F,Australia,AUS,2012
16759,Christopher Burton,M,Australia,AUS,2012
16759,Christopher Burton,M,Australia,AUS,2012
16974,Matthew Butturini,M,Australia,AUS,2012
17591,"Elizabeth Folake ""Liz"" Cambage",F,Australia,AUS,2012
17684,Bronte Campbell,F,Australia,AUS,2012
17687,Cate Natalie Campbell,F,Australia,AUS,2012
17687,Cate Natalie Campbell,F,Australia,AUS,2012
17742,"Richard ""Richie"" Campbell",M,Australia,AUS,2012
18581,Joel Carroll,M,Australia,AUS,2012
18796,Brendan Casey,M,Australia,AUS,2012
19840,David Chapman,M,Australia,AUS,2012
19845,Hayley Chapman,F,Australia,AUS,2012
19847,James Jonathan Chapman,M,Australia,AUS,2012
19989,Renee Chatterton,F,Australia,AUS,2012
20850,"Roderick ""Rod"" Chisholm",M,Australia,AUS,2012
21133,"Nyuk Lian ""Leanne"" Choo",F,Australia,AUS,2012
21668,"Christopher ""Chris"" Ciriello",M,Australia,AUS,2012
21804,James Clark,M,Australia,AUS,2012
21966,Jacob Clear,M,Australia,AUS,2012
21979,"Timothy ""Tim"" Cleland",M,Australia,AUS,2012
22076,Jade Close,F,Australia,AUS,2012
22323,Brendan Cole,M,Australia,AUS,2012
22323,Brendan Cole,M,Australia,AUS,2012
22708,"James ""Jimmy"" Connor",M,Australia,AUS,2012
22862,Sarah Ann Patricia Cook,F,Australia,AUS,2012
23384,"John ""Johnno"" Cotterill",M,Australia,AUS,2012
23417,Bryn Coudraye,M,Australia,AUS,2012
23519,Alicia Jayne Coutts,F,Australia,AUS,2012
23519,Alicia Jayne Coutts,F,Australia,AUS,2012
23519,Alicia Jayne Coutts,F,Australia,AUS,2012
23519,Alicia Jayne Coutts,F,Australia,AUS,2012
23519,Alicia Jayne Coutts,F,Australia,AUS,2012
23717,Peter Crawford,M,Australia,AUS,2012
23729,David William Crawshay,M,Australia,AUS,2012
23821,Jessica Crisp,F,Australia,AUS,2012
23906,Toni Maree Cronk,F,Australia,AUS,2012
23988,"Kimberley ""Kim"" Crow-Brennan",F,Australia,AUS,2012
23988,"Kimberley ""Kim"" Crow-Brennan",F,Australia,AUS,2012
24370,Ben Cureton,M,Australia,AUS,2012
24422,Nina Curtis,F,Australia,AUS,2012
24617,"Nicholas James ""Nick"" D'Arcy",M,Australia,AUS,2012
25687,Hannah Davis,F,Australia,AUS,2012
26804,Liam Andrew De Young,M,Australia,AUS,2012
26829,Nathan Douglas Deakes,M,Australia,AUS,2012
26861,Timothy Deavin,M,Australia,AUS,2012
27355,"Matthew ""Matt"" Dellavedova",M,Australia,AUS,2012
27623,Joel Dennerley,M,Australia,AUS,2012
27635,Rohan Dennis,M,Australia,AUS,2012
27646,Erin Densham,F,Australia,AUS,2012
27649,Martin Dent,M,Australia,AUS,2012
28172,Michael Constantine Diamond (Diamondopoulous-),M,Australia,AUS,2012
28355,Arnie Bradley W. Dickins,M,Australia,AUS,2012
28926,Tommaso D'Orsogna,M,Australia,AUS,2012
28926,Tommaso D'Orsogna,M,Australia,AUS,2012
29306,Tamika Skye Domrow,F,Australia,AUS,2012
29313,Jake Donaghey,M,Australia,AUS,2012
29313,Jake Donaghey,M,Australia,AUS,2012
29581,Ivo dos Santos,M,Australia,AUS,2012
29932,Warwick Draper,M,Australia,AUS,2012
30664,Joshua Dunkley-Smith,M,Australia,AUS,2012
31015,Jamie Raymond Dwyer,M,Australia,AUS,2012
31194,Casey Eastham-Sablowski,F,Australia,AUS,2012
31402,Thomas Edgar,M,Australia,AUS,2012
31434,Annette Edmondson,F,Australia,AUS,2012
31434,Annette Edmondson,F,Australia,AUS,2012
31473,Anthony John Edwards,M,Australia,AUS,2012
32407,Brittany Joyce Elmslie,F,Australia,AUS,2012
32407,Brittany Joyce Elmslie,F,Australia,AUS,2012
32407,Brittany Joyce Elmslie,F,Australia,AUS,2012
32886,"Christopher ""Chris"" Erickson",M,Australia,AUS,2012
33241,Chloe Esposito,F,Australia,AUS,2012
33431,Blair Catherine Evans,F,Australia,AUS,2012
33431,Blair Catherine Evans,F,Australia,AUS,2012
33432,Cadel Lee Evans,M,Australia,AUS,2012
33529,Hannah Every-Hall,F,Australia,AUS,2012
33873,Dana Faletic,F,Australia,AUS,2012
34701,Keith Ferguson,M,Australia,AUS,2012
34913,"Edward ""Ed"" Fernon",M,Australia,AUS,2012
35549,Naomi-Lee Fischer-Rasmussen,F,Australia,AUS,2012
35715,Anna Flanagan,F,Australia,AUS,2012
35874,Naomi Flood,F,Australia,AUS,2012
36020,Lyndsie Fogarty,F,Australia,AUS,2012
36020,Lyndsie Fogarty,F,Australia,AUS,2012
36240,Russell Ford,M,Australia,AUS,2012
36350,Karsten Forsterling,M,Australia,AUS,2012
36443,Sally Foster (-Hunter),F,Australia,AUS,2012
36567,"Jessica Esther ""Jess"" Fox",F,Australia,AUS,2012
36760,Robert Frank,M,Australia,AUS,2012
36835,Pauline Frasca,F,Australia,AUS,2012
36868,Thomas William Fraser-Holmes,M,Australia,AUS,2012
36868,Thomas William Fraser-Holmes,M,Australia,AUS,2012
36868,Thomas William Fraser-Holmes,M,Australia,AUS,2012
36902,Henry Max Frayne,M,Australia,AUS,2012
36902,Henry Max Frayne,M,Australia,AUS,2012
36931,Clayton Fredericks,M,Australia,AUS,2012
36931,Clayton Fredericks,M,Australia,AUS,2012
36935,Lucinda Fredericks (Murray-),F,Australia,AUS,2012
36935,Lucinda Fredericks (Murray-),F,Australia,AUS,2012
39083,Blake Gaudry,M,Australia,AUS,2012
39805,Tess Gerrand,F,Australia,AUS,2012
39806,Simon Gerrans,M,Australia,AUS,2012
40158,Adam Gibson,M,Australia,AUS,2012
40185,"Thomas ""Tom"" Gibson",M,Australia,AUS,2012
40383,Shara Gillow,F,Australia,AUS,2012
40383,Shara Gillow,F,Australia,AUS,2012
40449,Drew Cameron Ginn,M,Australia,AUS,2012
40672,Matthew Glaetzer,M,Australia,AUS,2012
40989,"William ""Will"" Godward",M,Australia,AUS,2012
41061,"Matthew ""Matt"" Gohdes",M,Australia,AUS,2012
41879,Melissa Anne Gorman,F,Australia,AUS,2012
41958,"Matthew Harley ""Matt"" Goss",M,Australia,AUS,2012
42118,Kieran Govers,M,Australia,AUS,2012
42415,Andrew Grant,M,Australia,AUS,2012
42744,Ryan Gregson,M,Australia,AUS,2012
42887,Sam Griffiths,M,Australia,AUS,2012
42887,Sam Griffiths,M,Australia,AUS,2012
44366,Kate Gynther,F,Australia,AUS,2012
44458,Alex Haas,M,Australia,AUS,2012
44620,Jayden Hadler,M,Australia,AUS,2012
44620,Jayden Hadler,M,Australia,AUS,2012
44681,Alexandra Hagan,F,Australia,AUS,2012
45266,Samantha Hamill,F,Australia,AUS,2012
45348,Bianca Maree Hammett,F,Australia,AUS,2012
45353,Cameron Hammond,M,Australia,AUS,2012
45459,Justin (Jiapeng-) Han,M,Australia,AUS,2012
45459,Justin (Jiapeng-) Han,M,Australia,AUS,2012
45610,Mary Hanna,F,Australia,AUS,2012
45610,Mary Hanna,F,Australia,AUS,2012
46040,Julia Hargreaves,F,Australia,AUS,2012
46040,Julia Hargreaves,F,Australia,AUS,2012
46126,Benn Harradine,M,Australia,AUS,2012
46229,Kristi Lee Harrower,F,Australia,AUS,2012
47159,Francis Hegerty,M,Australia,AUS,2012
47585,Rebecca Henderson,F,Australia,AUS,2012
47795,William Jehan Henzell,M,Australia,AUS,2012
47795,William Jehan Henzell,M,Australia,AUS,2012
47814,Michael David Hepburn,M,Australia,AUS,2012
48346,Lleyton Glynn Hewitt,M,Australia,AUS,2012
