ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
73,Luc Abalo,M,23,182,86,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
93,Jol Marc Abati,M,38,190,85,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
143,"Desmond ""Des"" Abbott",M,21,184,87,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
153,Monica Cecilia Abbott,F,23,191,88,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
580,Svetlana Olegovna Abrosimova,F,28,188,77,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
583,Julien Absalon,M,27,180,68,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
1017,Nathan Ghar-Jun Adrian,M,19,198,100,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1114,Luca Agamennoni,M,27,187,93,Italy,ITA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
1313,Robyn Mokihana Ah Mow-Santos,F,32,172,67,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
1498,"Charles Benedict ""Ben"" Ainslie",M,31,183,90,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Gold
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190,120,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
1698,Khadzhimurat Magomedovich Akkayev,M,23,178,105,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
2359,Islam-Beka Said-Tsilimovich Albiyev,M,19,165,66,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
2755,Aleksey Aleksandrovich Alipov,M,32,175,80,Russia,RUS,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Trap,Bronze
2762,Margarita Sergeyevna Aliychuk,F,17,174,48,Russia,RUS,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
2874,Wyatt Allen,M,29,193,98,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,29,170,59,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze
3093,Lutz Altepost,M,26,193,92,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
3593,An Kum-Ae,F,28,160,52,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Lightweight,Silver
3797,Brett Franklin Anderson,M,20,193,104,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
4240,Yekaterina Sergeyevna Andryushina,F,22,185,70,Russia,RUS,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Silver
4320,Nadine Marejke Angerer,F,29,174,70,Germany,GER,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Bronze
4505,Carmelo Kyan Anthony,M,24,203,109,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
5152,"Elizabeth ""Betsey"" Armstrong",F,25,188,77,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Silver
5159,Dylan Armstrong,M,27,190,125,Canada,CAN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,Bronze
5167,Kristin Ann Armstrong (-Savola),F,34,173,58,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Women's Individual Time Trial,Gold
5233,Virginie Arnold,F,28,155,50,France,FRA,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Team,Bronze
5298,"Jacob Joseph ""Jake"" Arrieta",M,22,193,102,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
5363,"Alexander Vladimirovich ""Sasha"" Artemev",M,22,168,NA,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
5456,Nobuharu Asahara,M,36,179,76,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
5532,Glenn Ashby,M,30,170,76,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Silver
5971,Seimone Delicia Augustus,F,24,183,74,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
6278,Sarah Lianne Ayton (-Dempsey),F,28,167,63,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,Gold
6317,"Anthony Lawrence ""Tony"" Azevedo",M,26,186,90,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
6389,Mehdi Abdelhafid Baala,M,29,183,65,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",Bronze
6710,Bair Dorzhiyevich Badyonov,M,32,178,75,Russia,RUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,Bronze
6811,Julien Bahain,M,22,190,93,France,FRA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
6906,Ryan Bailey,M,32,198,111,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
6934,Angie Lee Bainbridge,F,18,181,67,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
6979,"Fatmire ""Lira"" Bajramaj (-Alushi)",F,20,170,58,Germany,GER,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Bronze
7126,Georgiy Ruslanovich Balakshin,M,28,161,51,Russia,RUS,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,Bronze
7283,Lloy James Ball,M,36,203,95,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
7597,Bao Yingying,F,24,172,67,China,CHN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Team",Silver
7814,Brian David Barden,M,27,180,86,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
