ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
106,Agostino Abbagnale,M,22,188,96,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,M,26,182,90,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,29,187,97,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
507,Attila brahm,M,21,192,88,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
507,Attila brahm,M,21,192,88,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2589,Marc Robert Alexandre,M,28,170,73,France,FRA,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Gold
2800,Alister Millar Allan,M,44,162,68,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
3071,Andrey Igorevich Alshan,M,28,181,78,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Silver
3525,Uwe Ampler,M,24,182,77,East Germany,GER,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
3874,"William Lloyd ""Willie"" Anderson, Jr.",M,21,200,86,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
4388,Nataliya Yuryevna Anisimova (Guskova-),F,27,174,70,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Bronze
4517,Salvatore Antibo,M,26,170,52,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",Silver
4581,Yaroslav Viktorovich Antonov,M,25,198,95,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Silver
4677,Dmitry Borisovich Apanasenko,M,21,192,86,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Bronze
4750,Vladimer Aptsiauri,M,26,170,72,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Gold
5158,Duncan John D'Arcy Armstrong,M,20,187,74,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,Gold
5158,Duncan John D'Arcy Armstrong,M,20,187,74,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,Silver
5327,Israil Magomedgireyevich Arsamakov,M,26,169,85,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
5396,Vladimir Nikolayevich Artyomov,M,23,167,63,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Individual All-Around,Gold
5396,Vladimir Nikolayevich Artyomov,M,23,167,63,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Team All-Around,Gold
5396,Vladimir Nikolayevich Artyomov,M,23,167,63,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Silver
5396,Vladimir Nikolayevich Artyomov,M,23,167,63,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Parallel Bars,Gold
